synonyms,average,word
دَمْج,50,اِتِّحَاد
ضَمّ,"62,5",اِتِّحَاد
اِنْدِمَاج,"42,5",اِتِّحَاد
اِئْتِلاف,75,اِتِّحَاد
مَجْمُوعَة,50,اِتِّحَاد
جَمْع,"42,5",اِتِّحَاد
مَجْمُوع,10,اِتِّحَاد
نَقَابَة عُمَّال,"12,5",اِتِّحَاد
اِتِّحَاد عُمَّال,15,اِتِّحَاد
اِتِّحاد,100,اِتِّحَاد
عَجْز,"92,5",ضَعْف
أَمْت,"67,5",ضَعْف
وَهْن,80,ضَعْف
إِنْعِدَام القُوَّة,"72,5",ضَعْف
قَهْقَهَة,"82,5",ضَحِك
ضِحْك,"97,5",ضَحِك
نَجَاح بَاهِر,20,ضَرْبَة
نَجَاح,"32,5",ضَرْبَة
مُصِيبَة,"2,5",ضَرْبَة
إِصَابَة,25,ضَرْبَة
هَجْمَة,35,ضَرْبَة
دُنْيَا,"57,5",عَالَم
حَيَاة,"67,5",عَالَم
بَشَر,"37,5",عَالَم
عُنْصُر,"82,5",عَامِل
مُكَوِّن,"67,5",عَامِل
جُزء,"22,5",عَامِل
وَسِيط,40,عَامِل
وَكِيل,"7,5",عَامِل
سَمْسَار,5,عَامِل
دَلاَل,"2,5",عَامِل
عامِل,100,عَامِل
رَقَم,45,عَدَد
رَقَم تَعْيِين الهَوِيَّة,5,عَدَد
إِِصْدَار,"2,5",عَدَد
خَصْم,"87,5",عَدُوّ
مُعَاد,"77,5",عَدُوّ
عَدوّ,100,عَدُوّ
وَسْم,"42,5",عَلامَة
وَاصِمَة,"7,5",عَلامَة
تَعْلِيم,25,عَلامَة
تَأْشِير,30,عَلامَة
دَلالَة,"37,5",عَلامَة
دَلِيل,5,عَلامَة
أَثَر,10,عَلامَة
عَلاَمَة,100,عَلامَة
إشَارَة,"87,5",عَلامَة
وَصْمَة عَار,0,عَلامَة
لَطْخَة,"7,5",عَلامَة
صِلَة,"87,5",عَلاقَة
اِرْتِبَاط,"87,5",عَلاقَة
أُلْفَة,"42,5",عَلاقَة
قَرَابَة,"67,5",عَلاقَة
رَابِطَة,65,عَلاقَة
عَلاَقَة إنْسَانِيَّة,"62,5",عَلاقَة
عَلاَقَة,100,عَلاقَة
عَمَلِيّة غَيْر مَقْصُودَة,30,عَمَلِيَّة
عَمَلِيّة لا شُعُورِيَّة,10,عَمَلِيَّة
عَمَلِيّة إِدْرَاكِيَّة,"72,5",عَمَلِيَّة
عَمَلِيَّة مَعْرِفِيَّة,"72,5",عَمَلِيَّة
طَرِيقَة,"47,5",عَمَلِيَّة
إِجْراء,60,عَمَلِيَّة
عَمَل,50,عَمَلِيَّة
إجْراء,60,عَمَلِيَّة
عَمَلِيَّة عَسْكَرِيَّة,75,عَمَلِيَّة
جِرَاحَة,"17,5",عَمَلِيَّة
عَمَلِيَّة جِرَاحِيَّة,"82,5",عَمَلِيَّة
مَعْرَكَة,"22,5",عَمَلِيَّة
عَمَل عَسْكَرِيّ,75,عَمَلِيَّة
أدَاء,"37,5",عَمَلِيَّة
اِسْتِعْرَاض,"87,5",عَرْض
إيضَاح,20,عَرْض
تِكْرَار,"7,5",عَوْدَة
إِعَادَة,65,عَوْدَة
رُجُوع,95,عَوْدَة
عَوْدَة للوَطَن,80,عَوْدَة
طَرَف,40,عُضْو
جُزْء مِن جِسْم,45,عُضْو
عُضْو مِن جِسْم,40,عُضْو
الإسْم والعُنْوَان,65,عُنْوَان
تَجَمُّع,90,حَشْد
جَمْع,"82,5",حَشْد
مَجْمُوعَة,"47,5",حَشْد
جَمَاعَة,"82,5",حَشْد
فَرِيق,55,حَشْد
حَشْر,"62,5",حَشْد
إِجْتِمَاع,"47,5",حَشْد
تَجْمِيْع,20,حَشْد
مُلْتَقَى,50,حَشْد
اِحْتِشَاد,"77,5",حَشْد
إِلْتِقَاء,45,حَشْد
خِنْزِير غِينِيّ,0,حَالَة
مَوْضُوع الْبَحْث,10,حَالَة
نَمُوذَج,"7,5",حَالَة
مِثال,10,حَالَة
مَثَل,10,حَالَة
أُمْثُوْلَة,10,حَالَة
شَاهِد,"2,5",حَالَة
قَضِيَّة,40,حَالَة
مَسْأَلَة,"47,5",حَالَة
دَعْوَى قَضَائِيَّة,"7,5",حَالَة
دَعْوَى,"7,5",حَالَة
اِدِّعَاء,15,حَالَة
شَكْوَى,"7,5",حَالَة
حَال,"87,5",حَالَة
وَضْعِيَّة,50,حَالَة
وَضْعَ,95,حَالَة
تَحْرِيم,"77,5",حَظْر
مَنْع,"97,5",حَظْر
إِبْعَاد,45,حَظْر
نَهْي,80,حَظْر
تَقْيِيد,80,حَدّ
تَحْدِيد,50,حَدّ
خَط حُدُود,60,حَدّ
حَصْر,"77,5",حَدّ
قَيْد,"72,5",حَدّ
نِطَاق,40,حَدّ
حُدُود,95,حَدّ
خَط الحُدُود,"62,5",حَدّ
نِهَايَة,85,حَدّ
حَافَّة,"62,5",حَدّ
حَفْلَة,0,حَفْل
مَرَاسِم,70,حَفْل
حَفْل رَسْمِي,"82,5",حَفْل
اِحْتِفَال,"97,5",حَفْل
جُلْمُود,70,حَجَر
صَخْر,"87,5",حَجَر
صَخْرة,"87,5",حَجَر
حَجَرة,"72,5",حَجَر
جَذْر,10,حَلّ
وَاقِع,"87,5",حَقِيْقَة
حَقِيقَة,100,حَقِيْقَة
سَهْل,"92,5",حَقْل
مَيْدَان مَعْرِفَة,20,حَقْل
مَجَال,5,حَقْل
نِطَاق,"17,5",حَقْل
مَيْدَان,"42,5",حَقْل
إِطَار,15,حَقْل
مَلْعَب,"32,5",حَقْل
تَحَرُّك,"77,5",حَرَكَة
تَنَقُّل,70,حَرَكَة
نَشَاط,"22,5",حَرَكَة
فَعَالِيَّة,"7,5",حَرَكَة
عَمَل,"12,5",حَرَكَة
جَبْهَة,0,حَرَكَة
حَرَكَة إِجْتِمَاعِيَّة,5,حَرَكَة
سَفَرَ,25,حَرَكَة
رِحْلَة,"17,5",حَرَكَة
مَسِيرَة,15,حَرَكَة
هِجْرَة,25,حَرَكَة
اِنْتِقَال,55,حَرَكَة
فَعَالِيَّة,"7,5",حَرَكَة
خُطْوَة,25,حَرَكَة
مُبَادَرَة,0,حَرَكَة
حَمْلَة,0,حَرَكَة
اِشَارَة,15,حَرَكَة
إِيمَاءَة,15,حَرَكَة
إِيحَاء,"17,5",حَرَكَة
إِيعَاز,"12,5",حَرَكَة
إيمَاءَة,20,حَرَكَة
إشَارَة,15,حَرَكَة
خَطِير,80,حَرِج
خَطِر,65,حَرِج
حَاسِم,70,حَرِج
نَشَاط,"22,5",حَيَاة
حَرَكَة,20,حَيَاة
حَيَوِيَّة,65,حَيَاة
إِنْتِعَاش,"17,5",حَيَاة
رُوح,55,حَيَاة
هِمَّة,"7,5",حَيَاة
حَيَويَّة,65,حَيَاة
حَيَاة شَخْص,60,حَيَاة
مَعِيشَة,"57,5",حَيَاة
عُمْر,"17,5",حَيَاة
مُدَّة حَيَاة,"12,5",حَيَاة
فَتْرَة حَيَاة,"7,5",حَيَاة
مَطْمَح,"52,5",حُلُم
طُمُوح,"82,5",حُلُم
صَفّ مَدْرَسِي,75,صَفّ
خَطّ,90,صَفّ
تَصْوِيت,10,صَوْت
فَرِيق عَمَل,90,طَاقَم
جَمْع,"37,5",طَاقَم
جَمَاعَة,40,طَاقَم
فَرِيق,"57,5",طَاقَم
مَجْمُوعَة,65,طَاقَم
دراسة,"87,5",بَحْث
بحث,100,بَحْث
تَحْقِيق,"52,5",بَحْث
جِسْم,85,بَدَن
جُرُم,"2,5",بَدَن
جَسَد,60,بَدَن
جِذْع,"7,5",بَدَن
هَيْئَة,70,بَدَن
نُقْطَة,75,بَنْد
مَادَّة,"82,5",بَنْد
جُزُء,"57,5",بَنْد
تَقْوِيَة,"52,5",دَعْم
تَعْزِيزَ,65,دَعْم
إِمْدَاد,80,دَعْم
تَدْعِيم,80,دَعْم
تَعْزِيز,"67,5",دَعْم
رِعَايَة,"72,5",دَعْم
مُسَانَدَة,"87,5",دَعْم
تَأْيِيد,"42,5",دَعْم
مُسَاعَدَة,"77,5",دَعْم
رُتْبَة,"2,5",دَرَجَة
مَرْتَبَة,5,دَرَجَة
مَنْزِلَة,"2,5",دَرَجَة
نُقْطَة,"7,5",دَرَجَة
مُسْتَوَى,50,دَرَجَة
مَرْحَلَة,5,دَرَجَة
دَرَجَة عِلْمِيَّة,10,دَرَجَة
دَرَجَة أَكَادِيمِيَّة,5,دَرَجَة
شَهَادَة عِلْمِيَّة,"2,5",دَرَجَة
شَهَادَة,"2,5",دَرَجَة
خُسْرَان,75,فَقْد
خَسَارَة,90,فَقْد
خَسَائِر,"52,5",فَقْد
نَقْص,"27,5",فَقْد
فِقْدَان,95,فَقْد
إِصَابَة بالأَفْراد,"22,5",فَقْد
مَفْقُودَات,20,فَقْد
وَفَاة,80,فَقْد
رَحِيل,80,فَقْد
فُقْدَان,95,فَقْد
فِرَاق,65,فَقْد
إِنْتِقَال إلى رَحْمَة اللَّه,"52,5",فَقْد
إِنْتِهَاء أَجَل,"67,5",فَقْد
إِنْقِضَاء أَجَل,"57,5",فَقْد
حِرْمَان,20,فَقْد
نُقْصَان,"27,5",فَقْد
فُرْصَة,5,فَتْح
شَاغِر,"2,5",فَتْح
إِفْتِتَاح,55,فَتْح
تَفْكِير,85,فِكْر
تَأَمُّل,"52,5",فِكْر
فِكْرَة,70,فِكْر
خَاطِرَة,40,فِكْر
خَاطِر,"47,5",فِكْر
جَمْع,"12,5",فِرْقَة
مَجْمُوعَة,"47,5",فِرْقَة
جَمَاعَة,"42,5",فِرْقَة
فِرْقَة المُوسيقى الرَّاقِصَة,"67,5",فِرْقَة
غِطَاء,90,غِلاف
وَجْه,"77,5",جَانِب
قَدْر,"67,5",كَمِّيَّة
مِقْدَار,"82,5",كَمِّيَّة
مِقْيَاس,"77,5",كَمِّيَّة
مَبْلَغ,"37,5",كَمِّيَّة
كَمّ,80,كَمِّيَّة
وَقْت,"87,5",زَمَن
تَوْقِيت,"47,5",زَمَن
سَاعَة,40,زَمَن
بُعْد رَابِع,5,زَمَن
يَوْم شَمْسِيّ,75,يَوْم
أَرْبَعٌ و عِشْرُون سَاعَة,"67,5",يَوْم
عَصْر,"7,5",يَوْم
أَيَّام,"52,5",يَوْم
نَهَار,50,يَوْم
وَضَح النَّهَار,"22,5",يَوْم
عِيْد,0,يَوْم
سُهْد,"57,5",يَقَظَة
سُهَاد,"62,5",يَقَظَة
سَهَر,"12,5",يَقَظَة
أَرَق,10,يَقَظَة
إِنْعِدَام النَّوْم,"47,5",يَقَظَة
تَيَقُّظ,80,يَقَظَة
صَحْو,"77,5",يَقَظَة
إِسْتِيقَاظ,75,يَقَظَة
يَارْدَة,"37,5",خُطْوَة
خُطْوَة رَاقِصَة,50,خُطْوَة
وَقْع أَقْدَام,75,خُطْوَة
تَدْبِير,10,خُطْوَة
اِعْدَاد,0,خُطْوَة
إِجْرَاء,"2,5",خُطْوَة
مُدِيرِيَّة,10,خِدْمَة
مَصْلَحَة,65,خِدْمَة
نَبَأ,95,خَبَر
أخْبَار,95,خَبَر
صَفّ,90,خَطّ
مَسَار,85,خَطّ
نَظْرَة,90,وِجْهَة نَظَر
مَنْظُور,75,وِجْهَة نَظَر
وِزَارَة,100,وَزَارَة
صَفْحَة,25,وَرَقَة
صَحِيفَة,"57,5",وَرَقَة
تَوْقِيت,40,وَقْت
سَاعَة,35,وَقْت
وَقْت مُنَاسِب,60,وَقْت
مَوْعِد,20,وَقْت
فُرْصَة مُنَاسِبَة,"12,5",وَقْت
أَوَان,30,وَقْت
زَمَن,45,وَقْت
بُعْد رَابِع,0,وَقْت
وَسِيط,80,وَكِيل
سَمْسَار,55,وَكِيل
دَلاَل,"47,5",وَكِيل
عَامِل,"42,5",وَكِيل
مَنْدُوب,70,وَكِيل
عَمِيل,"52,5",وَكِيل
مَظْهَر,95,وَجْه
تَعْبِير,50,وَجْه
تَعْبِير الوَجْه,40,وَجْه
جَانِب,"17,5",وَجْه
وَصْف لَفْظِيّ,90,وَصْف
وَصْف شَفَهِيّ,90,وَصْف
وَحْدَة قِيَاس,50,وَحْدَة
وَحْدَة إِجْتِمَاعِيَّة,85,وَحْدَة
وَحْدَة أَسَاسِيَّة,"82,5",وَحْدَة
مَجْمُوع,"17,5",وَحْدَة
كُلّ,"12,5",وَحْدَة
جَمِيع,15,وَحْدَة
جَمْع,20,وَحْدَة
وَاقِعِيَّة,75,وَاقِع
حَقِيقَة,"82,5",وَاقِع
الوَاقِعِيَّة,75,وَاقِع
الحَقِيقِيَّة,75,وَاقِع
ثَراء,"57,5",ثَرْوَة
غِنَى,"57,5",ثَرْوَة
اِسْتِقْرار,"92,5",ثَبَات
تَوَازُن,60,ثَبَات
رُسُوخ,80,ثَبَات
تَدْبِير,80,تَخْطِيط
تَوْزِيع إِحْصَائِيّ,"52,5",تَوْزِيع
تَوَزُّع,80,تَوْزِيع
تَفَرُّق,45,تَوْزِيع
تَبَعْثُر,"37,5",تَوْزِيع
تَشَتُّت,25,تَوْزِيع
دُخُول,"2,5",تَسْجِيل
اِنْخِرَاط,20,تَسْجِيل
تَرْكِيب,90,تَرْكِيبَة
تَشْكِيلَة,"77,5",تَرْكِيبَة
مَجْمُوعَة,"72,5",تَرْكِيبَة
تَرْكِيب نَحْوِيّ,"52,5",تَرْكِيب
عِبارَة,10,تَرْكِيب
تَرْكِيبَة,95,تَرْكِيب
بُنْيَة,75,تَرْكِيب
خِبْرَة,40,تَجْرِبَة
مَعْرِفَة,"52,5",تَجْرِبَة
قِنِّينَة,100,قَارُوْرَة;قِنِّيْنَة;زُجَاجَة
إِزْدِيَاد,95,إِضَافَة;زِيَادَة
تَعَاظُم,"77,5",إِضَافَة;زِيَادَة
نُمُو,75,إِضَافَة;زِيَادَة
اِرْتِفَاع,90,إِضَافَة;زِيَادَة
زِيادَة,100,إِضَافَة;زِيَادَة
اِزْدِيَاد,95,إِضَافَة;زِيَادَة
جَمْع,30,إِضَافَة;زِيَادَة
تَدْنِيس,"2,5",قَسَم;يَمِين
سَبّ,"2,5",قَسَم;يَمِين
شَتْم,5,قَسَم;يَمِين
خُبْث,"22,5",عَدَم أَمَانَة;غِشّ;خِيَانَة
تَضْلِيْل,"57,5",عَدَم أَمَانَة;غِشّ;خِيَانَة
كَذِب,85,عَدَم أَمَانَة;غِشّ;خِيَانَة
عَدَم اﻷَمَانَة,"97,5",عَدَم أَمَانَة;غِشّ;خِيَانَة
عَدَم الشَّرَف,50,عَدَم أَمَانَة;غِشّ;خِيَانَة
فَائِدَة,15,مَصْلَحَة;مُدِيرِيَّة;خِدْمَة
وَظِيفَة,20,مَصْلَحَة;مُدِيرِيَّة;خِدْمَة
سَقْط,40,تَسَاقُط الثَلْج;ثَلْج
خَلِيط,95,مَزْج;تركيب;خَلْط
تَخْلِيط,60,مَزْج;تركيب;خَلْط
تَرْكِيب,"97,5",مَزْج;تركيب;خَلْط
دَمْج,90,مَزْج;تركيب;خَلْط
مَزِيج,90,مَزْج;تركيب;خَلْط
اِمْتِزاج,75,مَزْج;تركيب;خَلْط
اِتِّحَاد,65,مَزْج;تركيب;خَلْط
طَالِب,100,تِلْمِيذ
مُتَعَلِّم,85,تِلْمِيذ
دَارِس,"77,5",تِلْمِيذ
مِهْنَة,70,تِجَارَة;زَبَانَة
عَمَل,80,تِجَارَة;زَبَانَة
مَشْرُوع تِجَارِي,"87,5",تِجَارَة;زَبَانَة
زَبُون,"37,5",تِجَارَة;زَبَانَة
أعْمَال,75,تِجَارَة;زَبَانَة
نَشَاط تِجاري,85,تِجَارَة;زَبَانَة
عَمَل تِجَارِي,"87,5",تِجَارَة;زَبَانَة
أَعْمَال,75,تِجَارَة;زَبَانَة
اِبْدَال,90,اِسْتِبْدَال;تَخْفِيف
تَبْدِيل,"87,5",اِسْتِبْدَال;تَخْفِيف
تَحْوِيل,"62,5",اِسْتِبْدَال;تَخْفِيف
نَقْل,25,اِسْتِبْدَال;تَخْفِيف
إِبْدَال,90,اِسْتِبْدَال;تَخْفِيف
تَوْزِيع,0,تَكْرِيس;تَخْصِيص;وَقْف
تَعْيِين,15,تَكْرِيس;تَخْصِيص;وَقْف
تَوَزُّع,70,تَوْزِيع;تَوْزِيع إِحْصَائِيّ
تَفَرُّق,10,تَوْزِيع;تَوْزِيع إِحْصَائِيّ
تَبَعْثُر,"2,5",تَوْزِيع;تَوْزِيع إِحْصَائِيّ
تَشَتُّت,10,تَوْزِيع;تَوْزِيع إِحْصَائِيّ
تَسْخِير,70,اِسْتِثْمار;تَوْظِيف
اِسْتِخْدَام,60,اِسْتِثْمار;تَوْظِيف
دَمْج,90,اِتِّحَاد;تَوْحِيد
خَلْط,"82,5",اِتِّحَاد;تَوْحِيد
تَرْكِيب,75,اِتِّحَاد;تَوْحِيد
مَزْج,85,اِتِّحَاد;تَوْحِيد
ضَمّ,95,اِتِّحَاد;تَوْحِيد
اِنْدِمَاج,85,اِتِّحَاد;تَوْحِيد
مَجْمُوعَة,"27,5",اِتِّحَاد;تَوْحِيد
اِئْتِلاف,"82,5",اِتِّحَاد;تَوْحِيد
نَقَابَة عُمَّال,"62,5",اِتِّحَاد;تَوْحِيد
اِتِّحَاد عُمَّال,"62,5",اِتِّحَاد;تَوْحِيد
وَساطَة,"97,5",تَوَسُّط;وَسَاطَة
مَحَطَّة,"42,5",تَوَقُّف;وَقْفَة
هَيْكَل,90,بُنْيَة;تَرْكِيبَة
تَرْكِيب,85,بُنْيَة;تَرْكِيبَة
تَرْكِيب نَحْوِيّ,"77,5",بُنْيَة;تَرْكِيبَة
عِبارَة,"7,5",بُنْيَة;تَرْكِيبَة
جِسْم إِنْسَان,"67,5",بُنْيَة;تَرْكِيبَة
جَسَد إِنْسَان,65,بُنْيَة;تَرْكِيبَة
بِنْيَة,95,بُنْيَة;تَرْكِيبَة
بَدَن,65,بُنْيَة;تَرْكِيبَة
تَشْكِيلَة,25,بُنْيَة;تَرْكِيبَة
تَكْوِين,"82,5",بُنْيَة;تَرْكِيبَة
أداء,85,تَطْبِيق;تَنْفِيذ
إنْجَاز,"87,5",تَطْبِيق;تَنْفِيذ
إِجْراء,"82,5",تَطْبِيق;تَنْفِيذ
إلْزَام,"12,5",تَطْبِيق;تَنْفِيذ
نِظَام,"92,5",ضَبْط;تَنْظِيم
لَوْن,"72,5",صَبْغ;تَلْوِين
فَسَاد,"42,5",اِنْحِدَار;تَلاشِي
اِنْحِطَاط,"57,5",اِنْحِدَار;تَلاشِي
تِكْرَار,100,إِعَادَة;تَكْرَار
إِرجاع,"67,5",إِعَادَة;تَكْرَار
تَخْوِيل,"97,5",تَفْوِيض;تَكْلِيف
تَوْكِيل,100,تَفْوِيض;تَكْلِيف
تَمْثِيل,"77,5",تَفْوِيض;تَكْلِيف
اِنْتِدَاب,20,تَفْوِيض;تَكْلِيف
وَفد,30,تَفْوِيض;تَكْلِيف
مُفَوَّض,"42,5",تَفْوِيض;تَكْلِيف
مَنْدُوب,"47,5",تَفْوِيض;تَكْلِيف
مَبْعُوث,"32,5",تَفْوِيض;تَكْلِيف
بِعْثَة,40,تَفْوِيض;تَكْلِيف
تَقْطِيع,10,تَجْزِئَة;تَقْسِيم
فَصْل,"92,5",تَجْزِئَة;تَقْسِيم
قِسْمَة,50,تَجْزِئَة;تَقْسِيم
تَثَلُّج,10,جُمُود;تَجَمُّد;تَجْمِيد
إنْجِمَاد,70,جُمُود;تَجَمُّد;تَجْمِيد
صَلابَة,5,جُمُود;تَجَمُّد;تَجْمِيد
مَتَانَة,5,جُمُود;تَجَمُّد;تَجْمِيد
تَيَبُّس,0,جُمُود;تَجَمُّد;تَجْمِيد
قَسْوَة,5,جُمُود;تَجَمُّد;تَجْمِيد
لا مُرُونَة,5,جُمُود;تَجَمُّد;تَجْمِيد
مَادَة جَامِدَة,0,جُمُود;تَجَمُّد;تَجْمِيد
مَادَة صَلْبَة,0,جُمُود;تَجَمُّد;تَجْمِيد
جِسْم صَلْب,"2,5",جُمُود;تَجَمُّد;تَجْمِيد
تَجْمِيْع,60,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
جَمْع,70,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَجْمِيع,60,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
مَجِلِس,55,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
إجْتِمَاع,55,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
حَشْد,90,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
مَجْمُوعَة,90,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
حَشْر,15,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
إِجْتِمَاع,55,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَخْزِين,"7,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَرَاكُم,"2,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَكْدِيس,"2,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَصْنِيع,0,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
مَعْشَر,55,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
مَجْمُوْعَة,90,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
شَمْل,60,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
صُحْبَة,"47,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
عُصْبَة,50,جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
عِشْرَة,"12,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
فَرِيْق,"87,5",جَمَاْعَة;جَمْعِيَّة;تَجَمُّع
تَسَلُّل,"77,5",هُرُوب;تَهَرُّب
فِرَار,"87,5",هُرُوب;تَهَرُّب
تَرَحُّل,85,تَغْيِير مَوْضِع;تِرْحَال
تَنَقُّل,95,تَغْيِير مَوْضِع;تِرْحَال
تَحَرُّك,"57,5",تَغْيِير مَوْضِع;تِرْحَال
سَفَر,"92,5",تَغْيِير مَوْضِع;تِرْحَال
سَفْرَة,90,تَغْيِير مَوْضِع;تِرْحَال
رِحْلَة,90,تَغْيِير مَوْضِع;تِرْحَال
تَرْخِيص,"32,5",تَفْوِيض;تَكْلِيف;تَخْوِيل
تَوْضِيح,95,شَرْح;تَعْلِيل;تَفْسِير
إيضَاح,90,شَرْح;تَعْلِيل;تَفْسِير
إِطْلاق,100,اِطْلاق;تَحْرِير;تَفْرِيغ
إعْتَاق,75,اِطْلاق;تَحْرِير;تَفْرِيغ
تَحْرِِير,"97,5",اِطْلاق;تَحْرِير;تَفْرِيغ
سَرَاح,"37,5",اِطْلاق;تَحْرِير;تَفْرِيغ
طَرْد,65,اِطْلاق;تَحْرِير;تَفْرِيغ
عَزْل,55,اِطْلاق;تَحْرِير;تَفْرِيغ
عَتْق,40,اِطْلاق;تَحْرِير;تَفْرِيغ
إِعْفَاء,25,اِطْلاق;تَحْرِير;تَفْرِيغ
تَسْيِيب,"2,5",اِطْلاق;تَحْرِير;تَفْرِيغ
إِطْلاقُ سَراح,"62,5",اِطْلاق;تَحْرِير;تَفْرِيغ
إِخْلاءُ سَبِيل,"32,5",اِطْلاق;تَحْرِير;تَفْرِيغ
إِعْتاق,75,اِطْلاق;تَحْرِير;تَفْرِيغ
إطْلاَقٌ,"97,5",اِطْلاق;تَحْرِير;تَفْرِيغ
وَصْل,80,تَدَاعِي الخَوَاطِر
تَوْصِيل,"72,5",تَدَاعِي الخَوَاطِر
رَبْط,"67,5",تَدَاعِي الخَوَاطِر
اِتَّصَال,"72,5",تَدَاعِي الخَوَاطِر
اِرْتِبَاط,"57,5",تَدَاعِي الخَوَاطِر
وَصْلَة,"42,5",تَدَاعِي الخَوَاطِر
تَوْصِيلَة,"27,5",تَدَاعِي الخَوَاطِر
رابِطَة,"47,5",تَدَاعِي الخَوَاطِر
رابِط,50,تَدَاعِي الخَوَاطِر
رَابِطَة,50,تَدَاعِي الخَوَاطِر
اِتَّصال,70,تَدَاعِي الخَوَاطِر
قَرِينَة,20,تَدَاعِي الخَوَاطِر
صِلَة,70,تَدَاعِي الخَوَاطِر
اِرْتِباط,"67,5",تَدَاعِي الخَوَاطِر
عَلاقَة,"42,5",تَدَاعِي الخَوَاطِر
تَطَوُّر,100,تَطْوِير;تَنْمِيَة
تَطَوُّرِ السُّلاَلاَت,"87,5",تَطْوِير;تَنْمِيَة
نُمُوّ,85,تَطْوِير;تَنْمِيَة
نُشُوء,55,تَطْوِير;تَنْمِيَة
نُضُوج,65,تَطْوِير;تَنْمِيَة
نُضْج,"57,5",تَطْوِير;تَنْمِيَة
تَحْسِين,80,تَطْوِير;تَنْمِيَة
تَحَسُّن,"57,5",تَطْوِير;تَنْمِيَة
صُورَة,95,تَصَوُّر
تَمْثِيل,"82,5",تَصَوُّر
تَصْوِير,75,تَصَوُّر
تَطَوُّر,"97,5",تَحَسُّن;تَحْسِين;تَطْوِير
تَقَدُّم,"92,5",تَحَسُّن;تَحْسِين;تَطْوِير
اِرْتِقَاء,"82,5",تَحَسُّن;تَحْسِين;تَطْوِير
تَحْسِيْن,100,تَحَسُّن;تَحْسِين;تَطْوِير
حَافِز,70,دَفْع;تَحْفِيز
